spaces;buildings;sensors
bf4200d8-fecd-4827-aefb-4bf4f3c458bc;48feb012-8a44-4884-b29d-075e8f254f95;323138375c308816
bf4200d8-fecd-4827-aefb-4bf4f3c458bc;f9fcac8c-5691-41b6-ac79-1677f1d31509;a81758fffe04d819
bf4200d8-fecd-4827-aefb-4bf4f3c458bc;f9fcac8c-5691-41b6-ac79-1677f1d31509;a81758fffe06bf9e
bf4200d8-fecd-4827-aefb-4bf4f3c458bc;f9fcac8c-5691-41b6-ac79-1677f1d31509;a81758fffe0761f6
bf4200d8-fecd-4827-aefb-4bf4f3c458bc;f9fcac8c-5691-41b6-ac79-1677f1d31509;a81758fffe0761f7
bf4200d8-fecd-4827-aefb-4bf4f3c458bc;f9fcac8c-5691-41b6-ac79-1677f1d31509;a81758fffe0764f6
bf4200d8-fecd-4827-aefb-4bf4f3c458bc;f9fcac8c-5691-41b6-ac79-1677f1d31509;a81758fffe078396
e2c24827-c12f-48e4-84ff-dfb2886e5feb;93c1ff1b-235d-4ea5-a302-320d89edcb0f;net:serva:iot:10a52aaa84c35728
e2c24827-c12f-48e4-84ff-dfb2886e5feb;93c1ff1b-235d-4ea5-a302-320d89edcb0f;net:serva:iot:10a52aaa84c35732
e2c24827-c12f-48e4-84ff-dfb2886e5feb;93c1ff1b-235d-4ea5-a302-320d89edcb0f;net:serva:iot:10a52aaa84c35733
e2c24827-c12f-48e4-84ff-dfb2886e5feb;3c27c52d-1c14-4d39-9262-9dd140fee277;net:serva:iot:24e124725c140542
e2c24827-c12f-48e4-84ff-dfb2886e5feb;3c27c52d-1c14-4d39-9262-9dd140fee277;net:serva:iot:24e124725c140744
e2c24827-c12f-48e4-84ff-dfb2886e5feb;3c27c52d-1c14-4d39-9262-9dd140fee277;net:serva:iot:323138375c308816
e2c24827-c12f-48e4-84ff-dfb2886e5feb;3c27c52d-1c14-4d39-9262-9dd140fee277;net:serva:iot:a81758fffe04d819
e2c24827-c12f-48e4-84ff-dfb2886e5feb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe04d824
e2c24827-c12f-48e4-84ff-dfb2886e5feb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe0524f3
e2c24827-c12f-48e4-84ff-dfb2886e5feb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe06b306
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe06b308
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe06bf9e
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe06bfa3
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe075557
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe075646
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe075647
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe0761f6
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe0761f7
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe0764f6
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe07785a
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe078396
9137ce75-ef8d-4b81-947c-ef298f9918fb;636f1afb-e6e4-4a9f-b771-86e887f51dfc;net:serva:iot:a81758fffe07a05a
fc9ad70f-4988-4809-9ffb-5226575b6a51;c96ee8f4-08a3-43fa-80d4-93d410e7d0b6;uc-framat-outdoor
fc9ad70f-4988-4809-9ffb-5226575b6a51;c96ee8f4-08a3-43fa-80d4-93d410e7d0b6;uc-framat-vp1-em01
fc9ad70f-4988-4809-9ffb-5226575b6a51;c96ee8f4-08a3-43fa-80d4-93d410e7d0b6;uc-framat-vv1-em01
